Datetime,Close,High,Low,Open,Volume,Ticker,EMA20,EMA50,RSI,ATR,Target,EMA200
2024-05-30 04:00:00+00:00,2333.5,2335.10009765625,2332.60009765625,2332.89990234375,0,GC=F,2333.5,2333.5,,,1,2333.5
2024-05-30 05:00:00+00:00,2323.699951171875,2333.699951171875,2320.800048828125,2333.0,617,GC=F,2328.3549743652343,2328.501975097656,,,1,2328.575475463867
2024-05-30 06:00:00+00:00,2331.699951171875,2331.699951171875,2322.800048828125,2323.39990234375,1913,GC=F,2329.583229795483,2329.6108853454957,,,1,2329.6273995568267
2024-05-30 07:00:00+00:00,2355.699951171875,2356.89990234375,2331.39990234375,2331.39990234375,45741,GC=F,2337.122723457165,2336.529599201823,,,1,2336.243633798399
2024-05-30 08:00:00+00:00,2356.300048828125,2357.300048828125,2330.60009765625,2355.800048828125,13770,GC=F,2341.7615552689035,2340.806211873468,,,1,2340.335541569162
2024-05-30 09:00:00+00:00,2354.5,2359.5,2329.800048828125,2356.5,7000,GC=F,2344.448785248094,2343.3226975888083,,,1,2342.7556946809063
2024-05-30 10:00:00+00:00,2362.300048828125,2363.10009765625,2328.699951171875,2354.300048828125,6949,GC=F,2347.8240173399877,2346.369684977576,,,1,2345.632201247752
2024-05-30 11:00:00+00:00,2357.199951171875,2362.300048828125,2333.89990234375,2362.199951171875,8537,GC=F,2349.4446946149283,2347.9204126474633,,,1,2347.1292823898634
2024-05-30 12:00:00+00:00,2362.800048828125,2366.800048828125,2330.300048828125,2357.199951171875,21630,GC=F,2351.586958735223,2349.8502995592157,,,1,2348.940934879098
2024-05-30 13:00:00+00:00,2370.300048828125,2370.300048828125,2337.699951171875,2362.800048828125,16959,GC=F,2354.4049879573918,2352.2825492899556,,,0,2351.174237177279
2024-05-30 14:00:00+00:00,2365.5,2373.699951171875,2341.0,2370.39990234375,20817,GC=F,2355.988166569031,2353.738530765213,,,0,2352.5426680002583
2024-05-30 15:00:00+00:00,2365.199951171875,2367.300048828125,2339.699951171875,2365.5,11253,GC=F,2357.243070987169,2354.917442596772,,,0,2353.656415919503
2024-05-30 16:00:00+00:00,2369.300048828125,2369.5,2338.60009765625,2365.199951171875,6614,GC=F,2358.820895701084,2356.3083057531517,,,0,2354.9332903254194
2024-05-30 17:00:00+00:00,2365.800048828125,2370.300048828125,2340.800048828125,2369.39990234375,6262,GC=F,2359.7027972405986,2357.1763002920643,69.48118305694706,25.628574916294642,0,2355.7609438031955
2024-05-30 18:00:00+00:00,2363.89990234375,2365.89990234375,2339.89990234375,2365.699951171875,2603,GC=F,2360.217144292623,2357.760634972385,67.92430558754434,27.307146344866073,1,2356.342341319656
2024-05-30 19:00:00+00:00,2362.60009765625,2364.0,2337.800048828125,2363.800048828125,3655,GC=F,2360.5014073717393,2358.1620772028296,75.49139754325226,28.257149832589285,1,2356.763465013314
2024-05-30 20:00:00+00:00,2364.5,2366.5,2339.60009765625,2339.60009765625,1752,GC=F,2360.967197202277,2358.6657890181177,73.36171189499932,29.542864118303573,0,2357.2558676665667
2024-05-30 22:00:00+00:00,2365.10009765625,2368.699951171875,2341.5,2344.10009765625,0,GC=F,2361.438614559443,2359.1573700465,60.04277628524479,29.664289202008927,0,2357.729682674242
2024-05-30 23:00:00+00:00,2365.0,2367.300048828125,2344.0,2365.0,1807,GC=F,2361.837335823162,2359.5877436985556,59.39508666100703,29.421439034598215,1,2358.14773951934
2024-05-31 00:00:00+00:00,2367.60009765625,2368.800048828125,2341.199951171875,2365.0,2305,GC=F,2362.4719069130256,2360.158288703149,63.906512409031535,29.271449497767858,0,2358.66659535604
2024-05-31 01:00:00+00:00,2367.89990234375,2368.800048828125,2344.800048828125,2367.5,3302,GC=F,2363.060852776351,2360.692465159471,57.070461088882446,28.528581891741073,0,2359.151628999625
2024-05-31 02:00:00+00:00,2363.89990234375,2369.0,2342.0,2367.800048828125,2571,GC=F,2363.1506992725085,2360.9073792342115,58.70118011122596,28.428571428571427,0,2359.3908727780126
2024-05-31 03:00:00+00:00,2364.10009765625,2364.699951171875,2338.800048828125,2363.800048828125,5985,GC=F,2363.2511721423407,2361.115522925583,51.9637997034939,27.671421595982142,1,2359.6189276437167
2024-05-31 04:00:00+00:00,2365.10009765625,2366.89990234375,2342.89990234375,2364.800048828125,3149,GC=F,2363.4447897311397,2361.368713041073,40.22578128585196,27.05712890625,0,2359.8745308505722
2024-05-31 05:00:00+00:00,2363.5,2365.60009765625,2341.0,2365.0,2597,GC=F,2363.450516994519,2361.500924204616,45.72656706451882,26.478567940848215,1,2360.0376148604882
2024-05-31 06:00:00+00:00,2366.699951171875,2368.0,2363.0,2363.39990234375,3614,GC=F,2363.7847584116216,2361.8162430966154,52.85167926034569,24.864275251116073,0,2360.3271622683637
2024-05-31 07:00:00+00:00,2361.300048828125,2366.699951171875,2338.300048828125,2366.60009765625,4252,GC=F,2363.5311112876266,2361.7855930719957,35.507297655904466,24.685703822544642,1,2360.368073316982
2024-05-31 08:00:00+00:00,2364.300048828125,2364.89990234375,2341.300048828125,2361.300048828125,3696,GC=F,2363.6090732398147,2361.9319431076524,47.23248229761626,24.264264787946427,1,2360.528274984773
2024-05-31 09:00:00+00:00,2363.10009765625,2365.699951171875,2341.800048828125,2364.300048828125,3569,GC=F,2363.5577841033178,2361.9986668142105,48.485212791536426,24.1142578125,0,2360.6299292875196
2024-05-31 10:00:00+00:00,2365.0,2365.60009765625,2341.699951171875,2363.10009765625,2002,GC=F,2363.7023158143984,2362.1670844562786,54.44426359953704,23.949986049107142,0,2360.7976994913647
2024-05-31 11:00:00+00:00,2364.800048828125,2365.89990234375,2341.0,2365.0,2867,GC=F,2363.81178036456,2362.3123761241973,50.592980729332524,23.80712890625,0,2360.9471034818826
2024-05-31 12:00:00+00:00,2376.199951171875,2378.300048828125,2341.89990234375,2364.699951171875,18234,GC=F,2365.0416027225656,2363.066674079297,65.37382071484123,24.464285714285715,0,2361.5013047670113
2024-05-31 13:00:00+00:00,2369.60009765625,2381.199951171875,2347.5,2376.10009765625,23331,GC=F,2365.4923233809764,2363.4162560029486,55.399225161615696,25.207135881696427,0,2361.788004309569
2024-05-31 14:00:00+00:00,2356.10009765625,2370.5,2333.60009765625,2369.699951171875,24465,GC=F,2364.5670332355776,2363.0303081121056,39.25223835643944,25.871407645089285,0,2361.5916480888923
2024-05-31 15:00:00+00:00,2351.300048828125,2357.0,2326.0,2356.199951171875,19362,GC=F,2363.2642861014638,2362.4197689479815,35.68972121548869,26.371407645089285,0,2361.244885034464
2024-05-31 16:00:00+00:00,2354.0,2357.89990234375,2329.199951171875,2351.10009765625,8860,GC=F,2362.3572642764325,2361.987087330026,41.26988227796867,26.492832728794642,0,2361.0064389072227
2024-05-31 17:00:00+00:00,2346.800048828125,2354.89990234375,2322.300048828125,2353.89990234375,19487,GC=F,2360.8381834714232,2361.2160301626836,36.42056930854346,26.971400669642858,0,2360.549368641256
2024-05-31 18:00:00+00:00,2343.5,2348.10009765625,2319.5,2346.800048828125,6247,GC=F,2359.1492651300887,2360.3268487578807,33.636168591446136,27.299979073660715,1,2360.0127549472145
2024-05-31 19:00:00+00:00,2348.39990234375,2349.0,2319.0,2343.5,7713,GC=F,2358.104435674734,2359.7347246115883,39.10516117667782,27.685686383928573,1,2359.6549520534027
2024-05-31 20:00:00+00:00,2347.699951171875,2351.199951171875,2347.60009765625,2348.300048828125,3262,GC=F,2357.0951075098947,2359.143414789763,35.778297576842945,27.585675920758927,0,2359.2941341601722
2024-06-02 22:00:00+00:00,2346.60009765625,2349.800048828125,2343.5,2348.0,3744,GC=F,2356.078797317835,2358.53317071732,38.23990124884276,26.007114955357142,0,2358.918608477514
2024-06-02 23:00:00+00:00,2346.10009765625,2346.89990234375,2344.199951171875,2346.699951171875,1333,GC=F,2355.1140283243067,2357.9339439735218,34.83318888170021,24.514264787946427,0,2358.5467019799107
2024-06-03 00:00:00+00:00,2347.39990234375,2347.60009765625,2344.10009765625,2346.199951171875,2020,GC=F,2354.3692807070443,2357.430762134289,36.93808243217991,23.05712890625,0,2358.2293469707256
2024-06-03 01:00:00+00:00,2351.0,2351.39990234375,2346.300048828125,2347.199951171875,4698,GC=F,2354.0444230616554,2357.126187114254,38.673013866392765,21.714250837053573,0,2358.027266399141
2024-06-03 02:00:00+00:00,2346.60009765625,2351.300048828125,2345.300048828125,2350.89990234375,2995,GC=F,2353.327505307534,2356.6316769289588,36.212005193594564,20.3642578125,0,2357.713493621796
2024-06-03 03:00:00+00:00,2342.0,2348.300048828125,2340.5,2346.5,4007,GC=F,2352.237783545766,2355.949584015629,21.11464403396556,18.321393694196427,1,2357.289449116329
2024-06-03 04:00:00+00:00,2341.5,2342.89990234375,2340.300048828125,2341.800048828125,2748,GC=F,2351.205787953993,2355.2809291191975,23.540203038216788,16.099958147321427,1,2356.8704921265817
2024-06-03 05:00:00+00:00,2340.39990234375,2344.300048828125,2335.39990234375,2341.5,7676,GC=F,2350.1681506393534,2354.597136323838,30.71215193214401,14.0999755859375,1,2356.4405911256754
2024-06-03 06:00:00+00:00,2342.800048828125,2343.10009765625,2334.800048828125,2340.39990234375,7695,GC=F,2349.461183653949,2354.058679019326,38.903337667967065,12.478550502232142,1,2356.0902164215167
2024-06-03 07:00:00+00:00,2346.5,2349.5,2342.5,2342.699951171875,6256,GC=F,2349.177261074211,2353.7158797740426,40.45796784533957,10.928553989955358,1,2355.8476958072256
2024-06-03 08:00:00+00:00,2345.89990234375,2349.10009765625,2345.10009765625,2346.5,5597,GC=F,2348.8632252061566,2353.3635733691463,48.62362717356409,8.885707310267858,1,2355.5999328740463
2024-06-03 09:00:00+00:00,2348.0,2349.300048828125,2344.60009765625,2345.800048828125,4363,GC=F,2348.7805592243676,2353.123217816973,57.142857142857146,7.178553989955357,1,2355.413435773445
2024-06-03 10:00:00+00:00,2351.39990234375,2354.0,2346.60009765625,2348.199951171875,8956,GC=F,2349.0312663789146,2353.0464214283047,55.0,5.564261300223214,1,2355.3163626424835
2024-06-03 11:00:00+00:00,2350.300048828125,2352.89990234375,2349.300048828125,2351.300048828125,4445,GC=F,2349.1526485699455,2352.924685358753,54.27649014600299,5.564261300223214,1,2355.196738801782
2024-06-03 12:00:00+00:00,2354.699951171875,2355.199951171875,2345.89990234375,2350.39990234375,10910,GC=F,2349.6831210950004,2353.002975922848,62.017604230811024,5.778547014508929,1,2355.185054302591
2024-06-03 13:00:00+00:00,2354.10009765625,2357.5,2350.39990234375,2354.60009765625,14604,GC=F,2350.105339555712,2353.0511246108017,61.83438791135766,6.092843191964286,1,2355.159877647728
2024-06-03 14:00:00+00:00,2362.300048828125,2366.60009765625,2354.300048828125,2354.300048828125,26461,GC=F,2351.270620926022,2353.4551392772446,68.30487022140642,6.735700334821429,1,2355.3233993966865
2024-06-03 15:00:00+00:00,2363.39990234375,2364.5,2355.699951171875,2362.10009765625,14934,GC=F,2352.4292815539984,2353.887618080229,66.23036314598698,7.0,1,2355.505999762474
2024-06-03 16:00:00+00:00,2369.89990234375,2371.800048828125,2361.89990234375,2363.39990234375,9864,GC=F,2354.097698285964,2354.580999414062,78.9080863644074,7.278581891741071,1,2355.8273612245684
2024-06-03 17:00:00+00:00,2369.10009765625,2375.5,2366.800048828125,2369.800048828125,14327,GC=F,2355.530030889325,2355.2071618077052,87.12391807467459,7.342860630580357,1,2356.1200687421365
2024-06-03 18:00:00+00:00,2368.89990234375,2370.10009765625,2367.10009765625,2369.199951171875,2981,GC=F,2356.806199723358,2355.795385414029,87.84547526875919,7.371442522321429,1,2356.3985358312916
2024-06-03 19:00:00+00:00,2368.0,2369.699951171875,2365.300048828125,2368.89990234375,3584,GC=F,2357.8744326561223,2356.3177257500765,88.33398890501445,7.049996512276786,0,2356.648368902069
2024-06-03 20:00:00+00:00,2371.39990234375,2371.39990234375,2367.39990234375,2368.10009765625,0,GC=F,2359.1649299455453,2356.960917197033,88.64921576519805,6.742850167410714,0,2356.9623996561763
2024-06-03 22:00:00+00:00,2371.10009765625,2372.5,2370.300048828125,2371.300048828125,994,GC=F,2360.3034942967697,2357.5618326152703,86.60824577465812,6.399989536830357,0,2357.2599890797374
2024-06-03 23:00:00+00:00,2370.89990234375,2371.39990234375,2370.0,2371.0,1263,GC=F,2361.3141873102595,2358.126845125079,87.65148841040123,6.214268275669643,0,2357.5439487570766
2024-06-04 00:00:00+00:00,2370.800048828125,2373.10009765625,2370.39990234375,2370.800048828125,1573,GC=F,2362.2188265751865,2358.6620101149297,86.53974067031325,6.071428571428571,0,2357.816951098989
2024-06-04 01:00:00+00:00,2367.60009765625,2372.699951171875,2363.5,2370.89990234375,4406,GC=F,2362.7319566788824,2359.038314765627,76.13017043127618,6.200003487723214,0,2358.0163078106943
2024-06-04 02:00:00+00:00,2367.199951171875,2370.10009765625,2366.10009765625,2367.60009765625,1999,GC=F,2363.1579517416076,2359.3809411835377,77.8882568127246,6.228585379464286,0,2358.2015168730413
2024-06-04 03:00:00+00:00,2366.5,2367.300048828125,2364.39990234375,2367.199951171875,3276,GC=F,2363.476561298271,2359.67897618062,72.18107222512873,5.771449497767857,0,2358.3671820598297
2024-06-04 04:00:00+00:00,2369.89990234375,2370.39990234375,2365.39990234375,2366.0,2822,GC=F,2364.0888631591224,2360.1057385732315,76.87095166915795,5.621442522321429,0,2358.595130858717
2024-06-04 05:00:00+00:00,2367.89990234375,2370.10009765625,2367.39990234375,2369.699951171875,2984,GC=F,2364.4521172238888,2360.4303505429057,62.06892922915023,4.921456473214286,0,2358.7772557811527
2024-06-04 06:00:00+00:00,2364.5,2372.0,2364.300048828125,2367.60009765625,6002,GC=F,2364.4566808750255,2360.5994323622294,52.157095532619735,4.842878069196429,0,2358.888201041382
2024-06-04 07:00:00+00:00,2359.699951171875,2365.199951171875,2359.0,2364.5,7032,GC=F,2364.0033546191553,2360.562148517779,28.57113548003241,4.578578404017857,0,2358.9037911015594
2024-06-04 08:00:00+00:00,2353.300048828125,2359.800048828125,2352.300048828125,2359.60009765625,9521,GC=F,2362.9833725346252,2360.2618028500683,23.128856262612004,4.492867606026786,0,2358.797155416476
2024-06-04 09:00:00+00:00,2349.89990234375,2354.199951171875,2346.60009765625,2353.300048828125,11442,GC=F,2361.7366425103155,2359.834171832432,20.858546522077773,4.821428571428571,0,2358.6293696431853
2024-06-04 10:00:00+00:00,2349.10009765625,2354.89990234375,2348.800048828125,2349.89990234375,5849,GC=F,2360.532563274843,2359.3920893524023,20.92279030634475,4.942853655133929,0,2358.4512518163647
